service_id,date,exception_type
033725F_03304_,20260719,1
033725F_03305_,20260719,1
033725F_03306_,20260719,1
033725F_033E1_,20260719,1
034726F_03401_,20260719,1
034726F_03402_,20260719,1
034726F_03403_,20260719,1
034726F_03404_,20260719,1
034726F_03405_,20260719,1
034726F_03406_,20260719,1
034726F_03407_,20260719,1
034726F_034E1_,20260719,1
035781F_03501_,20260719,1
035781F_03502_,20260719,1
035781F_03503_,20260719,1
035781F_03504_,20260719,1
035781F_03505_,20260719,1
035781F_03506_,20260719,1
035781F_035E1_,20260719,1
036725F_03601_,20260719,1
036725F_03602_,20260719,1
036725F_03603_,20260719,1
036725F_03604_,20260719,1
038725F_03801_,20260719,1
038725F_03802_,20260719,1
038725F_03803_,20260719,1
038725F_03804_,20260719,1
038725F_03805_,20260719,1
038725F_03806_,20260719,1
038725F_03807_,20260719,1
039724F_03901_,20260719,1
039724F_03902_,20260719,1
039724F_03903_,20260719,1
039724F_03904_,20260719,1
039724F_039E1_,20260719,1
040724F_04001_,20260719,1
040724F_04002_,20260719,1
040724F_04003_,20260719,1
040724F_040E1_,20260719,1
041781F_04101_,20260719,1
041781F_04102_,20260719,1
041781F_041E1_,20260719,1
041781F_041E2_,20260719,1
042724F_04201_,20260719,1
042724F_04202_,20260719,1
042724F_04203_,20260719,1
042724F_04204_,20260719,1
042724F_04205_,20260719,1
042724F_042E1_,20260719,1
043007F_04301_,20260719,1
044724F_04401_,20260719,1
044724F_04402_,20260719,1
044724F_04403_,20260719,1
050003F_05001_,20260719,1
050003F_05002_,20260719,1
050003F_05003_,20260719,1
051008F_05101_,20260719,1
051008F_05102_,20260719,1
051008F_05103_,20260719,1
051008F_05104_,20260719,1
051008F_051E1_,20260719,1
051008F_051E2_,20260719,1
052724F_05201_,20260719,1
052724F_05202_,20260719,1
052724F_05203_,20260719,1
052724F_05204_,20260719,1
053724F_05301_,20260719,1
053724F_05302_,20260719,1
053724F_05303_,20260719,1
054700F_05401_,20260719,1
055700F_05501_,20260719,1
056003F_05601_,20260719,1
057700F_05701_,20260719,1
058003F_05801_,20260719,1
059005F_05901_,20260719,1
059005F_059E1_,20260719,1
060724F_06001_,20260719,1
060724F_06002_,20260719,1
060724F_06003_,20260719,1
0C1003F_0C1E1_,20260719,1
0C4008F_0C401_,20260719,1
CI1724F_CI101_,20260719,1
CI1724F_CI102_,20260719,1
CI1724F_CI103_,20260719,1
CI1724F_CI104_,20260719,1
CI1724F_CI105_,20260719,1
CI1724F_CI1E1_,20260719,1
CI1724F_CI1E2_,20260719,1
CI1724F_CI1E3_,20260719,1
CI1724F_CI1E4_,20260719,1
CI1724F_CI1E5_,20260719,1
CI2724F_CI201_,20260719,1
CI2724F_CI202_,20260719,1
CI2724F_CI203_,20260719,1
CI2724F_CI204_,20260719,1
CI2724F_CI205_,20260719,1
